objectid ,title,filename,object_location,format,latitude,longitude,date,subject,location,description,source,language
015,Fotografía del Foro Romano con el Capitolio en el fondo,015.pdf,ARCHIVO/015.pdf,pdf,41.89243031018318,12.485432287066718,,Foro ,"Via della Salara Vecchia, 5/6, 00186 Roma RM, Italy",Fotografía del Foro Romano en Roma con el Campidoglio diseñado por Miguel Ángel en el fondo.,Colección de postales de Manuel Campero,It
016,Retrato de Angiolo Doni,016.pdf,ARCHIVO/016.pdf,pdf,43.768333333333,12.334817503880297,,,,,Colección de postales de Manuel Campero,It
017,Pintura de Judith de Botticelli,017.pdf,ARCHIVO/017.pdf,pdf,43.765275,12.333918909000435,,,,,Colección de postales de Manuel Campero,It
018,Fotografía Panorama visto desde los jardines de Boboli,018.pdf,ARCHIVO/018.pdf,pdf,43.769722222222,10.944461957768594,,,,,Colección de postales de Manuel Campero,It
019,Fotografía de la Plaza de la Señoría,019.pdf,ARCHIVO/019.pdf,pdf,43.76802545,12.313639928196766,,,,,Colección de postales de Manuel Campero,It
020,Fotografía del mar de Nápoles,020.pdf,ARCHIVO/020.pdf,pdf,43.773055555556,12.492499119489807,,,,,Colección de postales de Manuel Campero,It
021,Pintura de la fachada de la Catedral Santa María del Fiore,021.pdf,ARCHIVO/021.pdf,pdf,43.769722222222,12.485432287066718,,Angiolo Doni,"R. Pitti Galería, Florencia, Italia",Un retrato de un italiano,Colección de postales de Manuel Campero,It
022,Pintura de Judith de Botticelli,022.pdf,ARCHIVO/022.pdf,pdf,43.768333333333,11.255277777778,,Judith,"Galería Uffizi, Florencia, Italia",Pintura de dos mujeres de Botticceli.,Colección de postales de Manuel Campero,It
023,Fotografía Panorama visto desde los jardines de Boboli,023.pdf,ARCHIVO/023.pdf,pdf,43.765275,11.249968,,Jardines ,"Jardines Boboli, Florencia, Italia",Construcciones vistas desde los Jardines de Boboli.,Colección de postales de Manuel Campero,It
024,Fotografía de la Plaza de la Señoría,024.pdf,ARCHIVO/024.pdf,pdf,43.769722222222,11.255555555556,,Plaza ,"Plaza de la Señoría, Florencia Italia",Arcos en la Plaza de la Señora con estuatillas.,Colección de postales de Manuel Campero,It
025,Fotografía del mar de Nápoles,025.pdf,ARCHIVO/025.pdf,pdf,43.76802545,11.2531580028995,,Mar de Nápoles,"Ponte Vecchio, Florencia, Italia",Panorama del mar de Nápoles con una balsa en medio del mar con la ciudad atrás.,Colección de postales de Manuel Campero,It
026,Pintura de la fachada de la Catedral Santa María del Fiore,026.pdf,ARCHIVO/026.pdf,pdf,43.773055555556,11.256944444444,,Catedral ,,Catedral con personas y caballos a su alrededor.,Colección de postales de Manuel Campero,It
027,,027.pdf,,pdf,,,,,,,Colección de postales de Manuel Campero,It
028,Fotografía del Puente Vecchio,028.pdf,ARCHIVO/028.pdf,pdf,,,,Puente ,,Vista debajo del Puente Vecchio con perosnas en canoas sobre el agua y la ciudad en el fondo.,Colección de postales de Manuel Campero,It
029,Fotografía de la Iglesia de S. M. Novella,029.pdf,ARCHIVO/029.pdf,pdf,,,,Iglesia ,,Iglesia de S. M. Novella de frente con estructuras a su alrededor.,Colección de postales de Manuel Campero,It
030,Fotografía del Palacio Pretorio,030.pdf,ARCHIVO/030.pdf,pdf,,,,Palacio,,"Vista periferica del Palacio Pretorio desde abajo, tiene una estructura cuadrada.",Colección de postales de Manuel Campero,It
031,"Fotografía de ""Napoli"" desde el mar (golfo de Nápoles)",009.pdf,ARCHIVO/009.pdf,pdf,40.735278,14.275278,,,,,Colección de postales de Manuel Campero,
032,"Fotografía de la Chiesa della Salute en Venecia, Italia",010.pdf,ARCHIVO/010.pdf,pdf,45.43068123579475,12.334817503880297,,,,,Colección de postales de Manuel Campero,
033,"Fotografía de la Ca´d'Oro en Venecia, Italia",011.pdf,ARCHIVO/011.pdf,pdf,45.44080737147946,12.333918909000435,,,,,Colección de postales de Manuel Campero,
034,"Fotografía de un gondolero en el Ponte de la Ferrovia en Verona, Italia",012.pdf,ARCHIVO/012.pdf,pdf,45.4764213045256,10.944461957768594,,,,,Colección de postales de Manuel Campero,
035,"Fotografía panorámica de la ciudad de Venecia, Italia",013.pdf,ARCHIVO/013.pdf,pdf,45.448402121971235,12.313639928196766,,,,,Colección de postales de Manuel Campero,
036,Fotografía del Coliseo en Roma,014.pdf,ARCHIVO/014.pdf,pdf,41.89017021890783,12.492499119489807,,,,,Colección de postales de Manuel Campero,
037,Fotografía del Foro Romano con el Capitolio en el fondo,015.pdf,ARCHIVO/015.pdf,pdf,41.89243031018318,12.485432287066718,,,,,Colección de postales de Manuel Campero,
038,Retrato de Angiolo Doni,016.pdf,ARCHIVO/016.pdf,pdf,43.768333333333,12.334817503880297,,,,,Colección de postales de Manuel Campero,
039,Pintura de Judith de Botticelli,017.pdf,ARCHIVO/017.pdf,pdf,43.765275,12.333918909000435,,,,,Colección de postales de Manuel Campero,
040,Fotografía Panorama visto desde los jardines de Boboli,018.pdf,ARCHIVO/018.pdf,pdf,43.769722222222,10.944461957768594,,,,,Colección de postales de Manuel Campero,
041,Fotografía de la Plaza de la Señoría,019.pdf,ARCHIVO/019.pdf,pdf,43.76802545,12.313639928196766,,Palacio ,"Palacio del arte de la lana, Florencia ","Edificio historico de Florencia, hoy pertenece a la sociedad Italiana Dante, la torre data del sigo XIII ",Colección de postales de Manuel Campero,It
042,Fotografía del mar de Nápoles,020.pdf,ARCHIVO/020.pdf,pdf,43.773055555556,12.492499119489807,,Plaza,"Plaza de la Señoría, Florencia Italia","Es la plaza central de Florencia, es la sede del poder civil con el ""Palacio Viejo"" y es el corazón de la vida social de la ciudad.",Colección de postales de Manuel Campero,It
043,Pintura de la fachada de la Catedral Santa María del Fiore,021.pdf,ARCHIVO/021.pdf,pdf,43.769722222222,12.485432287066718,,Palacio ,"Palacio Vecchio, Florencia, Italia","Palacio viejo se encuentra en la plaza de la Señorìa,  Alberga oficinas del Ayuntamiento de la ciudad si bien las principales salas están abiertas al público como museo donde pueden verse murales y cuadros de artistas célebres de la escuela florentina",Colección de postales de Manuel Campero,It
044,Pintura de Judith de Botticelli,022.pdf,ARCHIVO/022.pdf,pdf,43.768333333333,11.255277777778,,Museo,Palacio Pretorio en Florencia ,"El Palacio Pretorio es de planta rectangular, con una fachada principal que se abre hacia la parte sur de la plaza del Pretorio. Dispuesto en dos niveles, su principal característica son los bloques de toba que cubren totalmente sus paredes exteriores.",Colección de postales de Manuel Campero,It
045,Fotografía Panorama visto desde los jardines de Boboli,023.pdf,ARCHIVO/023.pdf,pdf,43.765275,11.249968,,Monumento ,"Plaza de Santa Croce, Florencia ","Es una de las principales plazas o plazas ubicadas en el céntrico barrio de Florencia, en la región de Toscana, Italia. Se encuentra cerca de la Piazza della Signoria y de la Biblioteca Central Nacional, y toma su nombre de la Basílica de Santa Croce que domina la plaza.",Colección de postales de Manuel Campero,It
046,Fotografía de la Plaza de la Señoría,024.pdf,ARCHIVO/024.pdf,pdf,43.769722222222,11.255555555556,,Puente ,"Ponte Vecchio, Florencia, Italia","Es un puente medieval sobre el río Arno en Florencia (Italia). Es un símbolo de la ciudad y uno de los puentes más famosos del mundo, uno de los pocos puentes habitados que se conservan. Atraviesa el río Arno en su punto más estrecho.",Colección de postales de Manuel Campero,It
047,Fotografía del mar de Nápoles,025.pdf,ARCHIVO/025.pdf,pdf,43.76802545,11.2531580028995,,Plaza,"Plaza e Chiesa, Italia","Posee el rango de catedral y también el de iglesia patriarcal, además del de basílica",Colección de postales de Manuel Campero,It
048,Pintura de la fachada de la Catedral Santa María del Fiore,026.pdf,ARCHIVO/026.pdf,pdf,43.773055555556,11.256944444444,,Retrato ,"Galleria Pitti, Florencia, Italia","Es un palacio renacentista en Florencia, Italia, situado en la ribera sur del río Arno, a muy corta distancia del Ponte Vecchio que data de 1458 y que fue originalmente la residencia urbana de Luca Pitti, un banquero florentino.",Colección de postales de Manuel Campero,It
049,Fotografia de Monumento a Giovanni delle Bande Nere,049.pdf,ARCHIVO/049.pdf,pdf,43.77504,11.25406,,Monumento ,"Plaza de S. Lorenzo, Florencia","La Plaza de San Lorenzo es una de las plazas más importantes de Florencia. Su basílica con la Capilla de los Medici, el Palacio Medici Riccardi y la Biblioteca Medicea Laurenziana",Colección de postales de Manuel Campero,It
050,Fotografia de Ponte Santa Trinita,050.pdf,ARCHIVO/050.pdf,pdf,43.76903,11.25032,,Puente ,"Puente S. Trinita, Florencia ","El puente de Santa Trinita tiene interés por si mismo. Construido por Ammanati a partir de 1567y se hallaba en un importante enclave de la ciudad medieval, que ya contaba con otros puentes de madera.",Colección de postales de Manuel Campero,It
051,"Fotografía de la ""Eglise Saint-Ambroise"" en Francia",051.pdf,ARCHIVO/051.pdf,pdf,48.861067,2.375564,,Iglesia ,"71 bis Bd Voltaire, 75011 Paris, Francia","Ubicada en París, la Iglesia de San Ambrosio está declarada monumento histórico y es atracción para muchos turistas",Colección de postales de Manuel Campero,fr
052,Retrato de Francois Napoleon,052.pdf,ARCHIVO/052.pdf,pdf,,,,Retrato ,Francia,"Napoleón II, a pesar de ser el hijo del emperador francés,  no obtuvo ningún título de liderazgo debido a la mala reputación de su padre. Sin embargo,  se le cedió el nombre de ""Duque de Reichstadt""  ",Colección de postales de Manuel Campero,Fr
053,Fotografía de poste de observación de trincheras alemanas ,053.pdf,ARCHIVO/053.pdf,pdf,49.15,4.966667,1915,Guardia ,"Bosque de Argonne, Francia",El bosque de Argonne fue un lugar de fuerte acción militar durante la Primera Guerra Mundial..,Colección de postales de Manuel Campero,Fr
054,"Fotografía del ""Pont Mayou"" en Francia",054.pdf,ARCHIVO/054.pdf,pdf,43.492222,1.473889,,Puente ,"64100 Bayonne, Francia
","Cerca del puente se encuentran varios museos, por lo que por ahí pasan muchos turistas",Colección de postales de Manuel Campero,Fr
055,"Fotografía de Páturas y un paisaje de fondo, Francia",055.pdf,ARCHIVO/055.pdf,pdf,42.695,-0.008889,,Cabra,"Gavarnie, Francia","La foto muestra un pastizal en Gavarnie, Francia, en el que se crían animales.",Colección de postales de Manuel Campero,Fr
056,Pintura de Napoleón Bonaparte en su primera visita a la enfermería en el Castillo de Malmaison,056.pdf,ARCHIVO/056.pdf,pdf,48.8708,2.166848,,Napoleón  ,"12 Av. du Castillo de Malmaison, 92500 Rueil-Malmaison, Francia",El castillo es ahora un museo napoleónico. Fue el hogar de Josefina y Napoleón Bonaparte,Colección de postales de Manuel Campero,Fr
057,Pintura de Napoleón Bonaparte presentando al Rey de Roma a los dignatarios del gobierno francés,057.pdf,ARCHIVO/057.pdf,pdf,48.804806,2.120333,1812,Napoleón Bonaparte con el Rey de Roma,"Place d'Armes, 78000 Versalles, Francia",El hecho se dio en el Palacio de Versalles. Que hoy en día es de los museos más importantes en Europa,Colección de postales de Manuel Campero,Fr
058,Fotografía de los escombros de una estructura tras un bombardeo Zeppelin en Francia,058.pdf,ARCHIVO/058.pdf,pdf,48.860267,2.342869,1916,Escombros de una casa,"Rue de Rivolie, París, Francia.",Fallecieron 7 personas de ese edificio tras eñ hecho,Colección de postales de Manuel Campero,Fr
059,Pintura de la armada francesa,059.pdf,ARCHIVO/059.pdf,pdf,,,,Soldados,-----,Un batallón de infantería francés descansando en el suelo. Se distinguen por sus sombreros característicos,Colección de postales de Manuel Campero,Fr
060,"Fotografía del ""Bois de Boulogne"" en Francia",060.pdf,ARCHIVO/060.pdf,pdf,48.864722,2.250833,,Personas ,"Bois de Boulogne, París, Francia","Hoy en día el parque sigue ahí, teniendo más del doble de tamaño que el Central Park en Nueva York",Colección de postales de Manuel Campero,Fr
061,,061.pdf,ARCHIVO/061.pdf,pdf,,,,,,,Colección de postales de Manuel Campero,
062,,062.pdf,ARCHIVO/062.pdf,pdf,,,,,,,Colección de postales de Manuel Campero,
063,,063.pdf,ARCHIVO/063.pdf,pdf,,,,,,,,
064,,064.pdf,ARCHIVO/064.pdf,pdf,,,,,,,,
065,,065.pdf,ARCHIVO/065.pdf,pdf,,,,,,,,
066,,066.pdf,ARCHIVO/066.pdf,pdf,,,,,,,,
067,,067.pdf,ARCHIVO/067.pdf,pdf,,,,,,,,
068,,068.pdf,ARCHIVO/068.pdf,pdf,,,,,,,,
069,,069.pdf,ARCHIVO/069.pdf,pdf,,,,,,,,
070,,070.pdf,ARCHIVO/070.pdf,pdf,,,,,,,,
071,,071.pdf,ARCHIVO/071.pdf,pdf,,,,,,,,
072,,072.pdf,ARCHIVO/072.pdf,pdf,,,,,,,,
073,,073.pdf,ARCHIVO/073.pdf,pdf,,,,,,,,
074,,074.pdf,ARCHIVO/074.pdf,pdf,,,,,,,,
075,,075.pdf,ARCHIVO/075.pdf,pdf,,,,,,,,
076,,076.pdf,ARCHIVO/076.pdf,pdf,,,,,,,,
077,,077.pdf,ARCHIVO/077.pdf,pdf,,,,,,,,
078,,078.pdf,ARCHIVO/078.pdf,pdf,,,,,,,,
079,,079.pdf,ARCHIVO/079.pdf,pdf,,,,,,,,
080,,080.pdf,ARCHIVO/080.pdf,pdf,,,,,,,,
081,,081.pdf,ARCHIVO/081.pdf,pdf,,,,,,,,
082,,082.pdf,ARCHIVO/082.pdf,pdf,,,,,,,,
083,,083.pdf,ARCHIVO/083.pdf,pdf,,,,,,,,
084,,084.pdf,ARCHIVO/084.pdf,pdf,,,,,,,,
085,,085.pdf,ARCHIVO/085.pdf,pdf,,,,,,,,
086,,086.pdf,ARCHIVO/086.pdf,pdf,,,,,,,,
087,,087.pdf,ARCHIVO/087.pdf,pdf,,,,,,,,
088,,088.pdf,ARCHIVO/088.pdf,pdf,,,,,,,,
089,,089.pdf,ARCHIVO/089.pdf,pdf,,,,,,,,
090,,090.pdf,ARCHIVO/090.pdf,pdf,,,,,,,,
091,,091.pdf,ARCHIVO/091.pdf,pdf,,,,,,,,
092,,092.pdf,ARCHIVO/092.pdf,pdf,,,,,,,,
093,,093.pdf,ARCHIVO/093.pdf,pdf,,,,,,,,
094,,094.pdf,ARCHIVO/094.pdf,pdf,,,,,,,,
095,,095.pdf,ARCHIVO/095.pdf,pdf,,,,,,,,
096,,096.pdf,ARCHIVO/096.pdf,pdf,,,,,,,,
097,,097.pdf,ARCHIVO/097.pdf,pdf,,,,,,,,
098,,098.pdf,ARCHIVO/098.pdf,pdf,,,,,,,,
099,,099.pdf,ARCHIVO/099.pdf,pdf,,,,,,,,
100,,100.pdf,ARCHIVO/100.pdf,pdf,,,,,,,,
